Spat_code	unit	B_3_99
AT12_10kmE477N284	ha	300
AT12_10kmE477N284	flg	
AT12_10kmE477N285	ha	130
AT12_10kmE477N285	flg	
AT12_10kmE477N286	ha	50
AT12_10kmE477N286	flg	
AT12_10kmE478N272	ha	2440
AT12_10kmE478N272	flg	
AT12_10kmE478N273	ha	3290
AT12_10kmE478N273	flg	
AT12_10kmE478N274	ha	2850
AT12_10kmE478N274	flg	
AT12_10kmE478N275	ha	1080
AT12_10kmE478N275	flg	
AT12_10kmE478N276	ha	780
AT12_10kmE478N276	flg	
AT12_10kmE478N277	ha	720
AT12_10kmE478N277	flg	
AT12_10kmE478N278	ha	240
AT12_10kmE478N278	flg	
AT12_10kmE478N279	ha	930
AT12_10kmE478N279	flg	
AT12_10kmE478N281	ha	480
AT12_10kmE478N281	flg	
AT12_10kmE478N282	ha	340
AT12_10kmE478N282	flg	
AT12_10kmE478N283	ha	260
AT12_10kmE478N283	flg	
AT12_10kmE478N284	ha	190
AT12_10kmE478N284	flg	
AT12_10kmE478N285	ha	220
AT12_10kmE478N285	flg	
AT12_10kmE478N286	ha	90
AT12_10kmE478N286	flg	
AT12_10kmE479N272	ha	1000
AT12_10kmE479N272	flg	
AT12_10kmE479N273	ha	2340
AT12_10kmE479N273	flg	
AT12_10kmE479N274	ha	2520
AT12_10kmE479N274	flg	
AT12_10kmE479N275	ha	130
AT12_10kmE479N275	flg	
AT12_10kmE479N276	ha	500
AT12_10kmE479N276	flg	
AT12_10kmE479N277	ha	130
AT12_10kmE479N277	flg	
AT12_10kmE479N278	ha	420
AT12_10kmE479N278	flg	
AT12_10kmE479N279	ha	270
AT12_10kmE479N279	flg	
AT12_10kmE479N281	ha	0
AT12_10kmE479N281	flg	-1
AT12_10kmE479N282	ha	320
AT12_10kmE479N282	flg	
AT12_10kmE479N283	ha	480
AT12_10kmE479N283	flg	
AT12_10kmE479N284	ha	330
AT12_10kmE479N284	flg	
AT12_10kmE479N285	ha	440
AT12_10kmE479N285	flg	
AT12_10kmE479N286	ha	270
AT12_10kmE479N286	flg	
AT12_10kmE479N287	ha	450
AT12_10kmE479N287	flg	
AT12_10kmE480N278	ha	630
AT12_10kmE480N278	flg	
AT12_10kmE480N279	ha	250
AT12_10kmE480N279	flg	
AT12_10kmE480N280	ha	200
AT12_10kmE480N280	flg	
AT12_10kmE480N281	ha	120
AT12_10kmE480N281	flg	
AT12_10kmE480N282	ha	380
AT12_10kmE480N282	flg	
AT12_10kmE480N283	ha	240
AT12_10kmE480N283	flg	
AT12_10kmE480N284	ha	270
AT12_10kmE480N284	flg	
AT12_10kmE480N285	ha	120
AT12_10kmE480N285	flg	
AT12_10kmE480N286	ha	490
AT12_10kmE480N286	flg	
AT12_10kmE480N287	ha	160
AT12_10kmE480N287	flg	
AT12_10kmE481N277	ha	180
AT12_10kmE481N277	flg	
AT12_10kmE481N278	ha	760
AT12_10kmE481N278	flg	
AT12_10kmE481N279	ha	580
AT12_10kmE481N279	flg	
AT12_10kmE481N280	ha	330
AT12_10kmE481N280	flg	
AT12_10kmE481N281	ha	220
AT12_10kmE481N281	flg	
AT12_10kmE481N282	ha	190
AT12_10kmE481N282	flg	
AT12_10kmE481N283	ha	130
AT12_10kmE481N283	flg	
AT12_10kmE481N284	ha	150
AT12_10kmE481N284	flg	
AT12_10kmE481N285	ha	220
AT12_10kmE481N285	flg	
AT12_10kmE481N286	ha	120
AT12_10kmE481N286	flg	
AT12_10kmE482N279	ha	590
AT12_10kmE482N279	flg	
AT12_10kmE482N280	ha	330
AT12_10kmE482N280	flg	
AT12_10kmE482N281	ha	210
AT12_10kmE482N281	flg	
AT12_10kmE482N282	ha	520
AT12_10kmE482N282	flg	
AT12_10kmE482N283	ha	60
AT12_10kmE482N283	flg	
AT12_10kmE482N284	ha	110
AT12_10kmE482N284	flg	
AT12_10kmE482N285	ha	230
AT12_10kmE482N285	flg	
AT12_10kmE482N286	ha	200
AT12_10kmE482N286	flg	
AT12_10kmE483N279	ha	580
AT12_10kmE483N279	flg	
AT12_10kmE483N280	ha	350
AT12_10kmE483N280	flg	
AT12_10kmE483N281	ha	390
AT12_10kmE483N281	flg	
AT12_10kmE483N284	ha	50
AT12_10kmE483N284	flg	
AT12_10kmE484N280	ha	220
AT12_10kmE484N280	flg	
AT13_10kmE478N280	ha	80
AT13_10kmE478N280	flg	
AT13_10kmE478N281	ha	30
AT13_10kmE478N281	flg	
AT13_10kmE479N280	ha	610
AT13_10kmE479N280	flg	
AT13_10kmE479N281	ha	580
AT13_10kmE479N281	flg	
AT13_10kmE480N280	ha	0
AT13_10kmE480N280	flg	-1
AT13_10kmE480N281	ha	70
AT13_10kmE480N281	flg	
AT21_10kmE452N262	ha	260
AT21_10kmE452N262	flg	
AT21_10kmE453N262	ha	2250
AT21_10kmE453N262	flg	
AT21_10kmE453N265	ha	1120
AT21_10kmE453N265	flg	
AT21_10kmE453N266	ha	2040
AT21_10kmE453N266	flg	
AT21_10kmE454N262	ha	1450
AT21_10kmE454N262	flg	
AT21_10kmE454N263	ha	1480
AT21_10kmE454N263	flg	
AT21_10kmE454N264	ha	5290
AT21_10kmE454N264	flg	
AT21_10kmE454N265	ha	3770
AT21_10kmE454N265	flg	
AT21_10kmE455N261	ha	400
AT21_10kmE455N261	flg	
AT21_10kmE455N262	ha	2670
AT21_10kmE455N262	flg	
AT21_10kmE455N263	ha	2740
AT21_10kmE455N263	flg	
AT21_10kmE455N264	ha	2070
AT21_10kmE455N264	flg	
AT21_10kmE455N265	ha	2140
AT21_10kmE455N265	flg	
AT21_10kmE456N261	ha	1670
AT21_10kmE456N261	flg	
AT21_10kmE456N262	ha	1070
AT21_10kmE456N262	flg	
AT21_10kmE456N263	ha	4040
AT21_10kmE456N263	flg	
AT21_10kmE456N264	ha	1600
AT21_10kmE456N264	flg	
AT21_10kmE456N265	ha	3750
AT21_10kmE456N265	flg	
AT21_10kmE457N261	ha	2570
AT21_10kmE457N261	flg	
AT21_10kmE457N262	ha	1420
AT21_10kmE457N262	flg	
AT21_10kmE457N263	ha	3170
AT21_10kmE457N263	flg	
AT21_10kmE457N264	ha	2490
AT21_10kmE457N264	flg	
AT21_10kmE458N261	ha	2040
AT21_10kmE458N261	flg	
AT21_10kmE458N262	ha	230
AT21_10kmE458N262	flg	
AT21_10kmE458N263	ha	1400
AT21_10kmE458N263	flg	
AT21_10kmE458N264	ha	6100
AT21_10kmE458N264	flg	
AT21_10kmE458N265	ha	5690
AT21_10kmE458N265	flg	
AT21_10kmE459N261	ha	3420
AT21_10kmE459N261	flg	
AT21_10kmE459N262	ha	1360
AT21_10kmE459N262	flg	
AT21_10kmE459N263	ha	4120
AT21_10kmE459N263	flg	
AT21_10kmE459N264	ha	1940
AT21_10kmE459N264	flg	
AT21_10kmE459N265	ha	6970
AT21_10kmE459N265	flg	
AT21_10kmE459N266	ha	4740
AT21_10kmE459N266	flg	
AT21_10kmE460N261	ha	1170
AT21_10kmE460N261	flg	
AT21_10kmE460N262	ha	1770
AT21_10kmE460N262	flg	
AT21_10kmE460N263	ha	2030
AT21_10kmE460N263	flg	
AT21_10kmE460N264	ha	4120
AT21_10kmE460N264	flg	
AT21_10kmE460N265	ha	550
AT21_10kmE460N265	flg	
AT21_10kmE461N260	ha	0
AT21_10kmE461N260	flg	-1
AT21_10kmE461N261	ha	1590
AT21_10kmE461N261	flg	
AT21_10kmE461N262	ha	1600
AT21_10kmE461N262	flg	
AT21_10kmE461N263	ha	2460
AT21_10kmE461N263	flg	
AT21_10kmE461N264	ha	4480
AT21_10kmE461N264	flg	
AT21_10kmE462N261	ha	1810
AT21_10kmE462N261	flg	
AT21_10kmE462N262	ha	1500
AT21_10kmE462N262	flg	
AT21_10kmE462N263	ha	2640
AT21_10kmE462N263	flg	
AT21_10kmE462N264	ha	2880
AT21_10kmE462N264	flg	
AT21_10kmE462N265	ha	140
AT21_10kmE462N265	flg	
AT21_10kmE463N260	ha	180
AT21_10kmE463N260	flg	
AT21_10kmE463N261	ha	2380
AT21_10kmE463N261	flg	
AT21_10kmE463N262	ha	2150
AT21_10kmE463N262	flg	
AT21_10kmE463N263	ha	4630
AT21_10kmE463N263	flg	
AT21_10kmE463N264	ha	3170
AT21_10kmE463N264	flg	
AT21_10kmE463N265	ha	1640
AT21_10kmE463N265	flg	
AT21_10kmE463N266	ha	1020
AT21_10kmE463N266	flg	
AT21_10kmE464N260	ha	680
AT21_10kmE464N260	flg	
AT21_10kmE464N261	ha	1980
AT21_10kmE464N261	flg	
AT21_10kmE464N262	ha	2530
AT21_10kmE464N262	flg	
AT21_10kmE464N263	ha	4000
AT21_10kmE464N263	flg	
AT21_10kmE464N264	ha	2430
AT21_10kmE464N264	flg	
AT21_10kmE464N265	ha	2540
AT21_10kmE464N265	flg	
AT21_10kmE464N266	ha	1870
AT21_10kmE464N266	flg	
AT21_10kmE465N260	ha	400
AT21_10kmE465N260	flg	
AT21_10kmE465N261	ha	1550
AT21_10kmE465N261	flg	
AT21_10kmE465N262	ha	3820
AT21_10kmE465N262	flg	
AT21_10kmE465N263	ha	3670
AT21_10kmE465N263	flg	
AT21_10kmE465N264	ha	2110
AT21_10kmE465N264	flg	
AT21_10kmE465N265	ha	2020
AT21_10kmE465N265	flg	
AT21_10kmE465N266	ha	1250
AT21_10kmE465N266	flg	
AT21_10kmE466N260	ha	420
AT21_10kmE466N260	flg	
AT21_10kmE466N261	ha	1300
AT21_10kmE466N261	flg	
AT21_10kmE466N262	ha	1050
AT21_10kmE466N262	flg	
AT21_10kmE466N263	ha	1770
AT21_10kmE466N263	flg	
AT21_10kmE466N264	ha	3180
AT21_10kmE466N264	flg	
AT21_10kmE466N265	ha	2900
AT21_10kmE466N265	flg	
AT21_10kmE466N266	ha	930
AT21_10kmE466N266	flg	
AT21_10kmE467N260	ha	630
AT21_10kmE467N260	flg	
AT21_10kmE467N261	ha	1280
AT21_10kmE467N261	flg	
AT21_10kmE467N262	ha	1450
AT21_10kmE467N262	flg	
AT21_10kmE467N263	ha	3000
AT21_10kmE467N263	flg	
AT21_10kmE467N264	ha	1130
AT21_10kmE467N264	flg	
AT21_10kmE467N265	ha	190
AT21_10kmE467N265	flg	
AT21_10kmE467N266	ha	530
AT21_10kmE467N266	flg	
AT21_10kmE468N261	ha	1210
AT21_10kmE468N261	flg	
AT21_10kmE468N262	ha	1330
AT21_10kmE468N262	flg	
AT21_10kmE468N263	ha	3330
AT21_10kmE468N263	flg	
AT21_10kmE468N264	ha	4210
AT21_10kmE468N264	flg	
AT21_10kmE468N265	ha	3900
AT21_10kmE468N265	flg	
AT21_10kmE468N266	ha	4140
AT21_10kmE468N266	flg	
AT21_10kmE469N262	ha	1290
AT21_10kmE469N262	flg	
AT21_10kmE469N263	ha	2730
AT21_10kmE469N263	flg	
AT21_10kmE469N264	ha	4840
AT21_10kmE469N264	flg	
AT21_10kmE469N265	ha	3780
AT21_10kmE469N265	flg	
AT21_10kmE469N266	ha	1800
AT21_10kmE469N266	flg	
AT21_10kmE470N262	ha	460
AT21_10kmE470N262	flg	
AT21_10kmE470N263	ha	530
AT21_10kmE470N263	flg	
AT22_10kmE459N269	ha	0
AT22_10kmE459N269	flg	-1
AT22_10kmE459N270	ha	4770
AT22_10kmE459N270	flg	
AT22_10kmE460N270	ha	3690
AT22_10kmE460N270	flg	
AT22_10kmE460N272	ha	1340
AT22_10kmE460N272	flg	
AT22_10kmE460N273	ha	1280
AT22_10kmE460N273	flg	
AT22_10kmE461N266	ha	440
AT22_10kmE461N266	flg	
AT22_10kmE461N267	ha	290
AT22_10kmE461N267	flg	
AT22_10kmE461N268	ha	280
AT22_10kmE461N268	flg	
AT22_10kmE461N269	ha	0
AT22_10kmE461N269	flg	-1
AT22_10kmE461N270	ha	3380
AT22_10kmE461N270	flg	
AT22_10kmE461N271	ha	2600
AT22_10kmE461N271	flg	
AT22_10kmE461N272	ha	3500
AT22_10kmE461N272	flg	
AT22_10kmE461N273	ha	440
AT22_10kmE461N273	flg	
AT22_10kmE462N266	ha	30
AT22_10kmE462N266	flg	
AT22_10kmE462N267	ha	2250
AT22_10kmE462N267	flg	
AT22_10kmE462N268	ha	3080
AT22_10kmE462N268	flg	
AT22_10kmE462N269	ha	330
AT22_10kmE462N269	flg	
AT22_10kmE462N270	ha	1780
AT22_10kmE462N270	flg	
AT22_10kmE462N271	ha	3210
AT22_10kmE462N271	flg	
AT22_10kmE462N272	ha	2630
AT22_10kmE462N272	flg	
AT22_10kmE463N267	ha	3350
AT22_10kmE463N267	flg	
AT22_10kmE463N268	ha	4630
AT22_10kmE463N268	flg	
AT22_10kmE463N270	ha	920
AT22_10kmE463N270	flg	
AT22_10kmE463N271	ha	2330
AT22_10kmE463N271	flg	
AT22_10kmE463N272	ha	3530
AT22_10kmE463N272	flg	
AT22_10kmE464N266	ha	290
AT22_10kmE464N266	flg	
AT22_10kmE464N267	ha	2650
AT22_10kmE464N267	flg	
AT22_10kmE464N268	ha	5020
AT22_10kmE464N268	flg	
AT22_10kmE464N269	ha	440
AT22_10kmE464N269	flg	
AT22_10kmE464N270	ha	850
AT22_10kmE464N270	flg	
AT22_10kmE464N271	ha	700
AT22_10kmE464N271	flg	
AT22_10kmE464N272	ha	3190
AT22_10kmE464N272	flg	
AT22_10kmE465N266	ha	1020
AT22_10kmE465N266	flg	
AT22_10kmE465N267	ha	4310
AT22_10kmE465N267	flg	
AT22_10kmE465N268	ha	2210
AT22_10kmE465N268	flg	
AT22_10kmE465N269	ha	1610
AT22_10kmE465N269	flg	
AT22_10kmE465N270	ha	2030
AT22_10kmE465N270	flg	
AT22_10kmE465N271	ha	1630
AT22_10kmE465N271	flg	
AT22_10kmE465N272	ha	2400
AT22_10kmE465N272	flg	
AT22_10kmE465N273	ha	990
AT22_10kmE465N273	flg	
AT22_10kmE466N266	ha	1720
AT22_10kmE466N266	flg	
AT22_10kmE466N267	ha	980
AT22_10kmE466N267	flg	
AT22_10kmE466N268	ha	3270
AT22_10kmE466N268	flg	
AT22_10kmE466N269	ha	2530
AT22_10kmE466N269	flg	
AT22_10kmE466N271	ha	1420
AT22_10kmE466N271	flg	
AT22_10kmE466N272	ha	620
AT22_10kmE466N272	flg	
AT22_10kmE466N273	ha	280
AT22_10kmE466N273	flg	
AT22_10kmE466N274	ha	690
AT22_10kmE466N274	flg	
AT22_10kmE467N266	ha	1000
