Spat_code	Unit	C_LIVEST_L	AGRAREA	B_1	B_1_1	B_1_1_1	B_1_1_2	B_1_1_3	B_1_1_4	B_1_1_5	B_1_1_6	B_1_1_7	B_1_1_99	B_1_2	B_1_2_1	B_1_2_2	B_1_345	B_1_3	B_1_4	B_1_5	B_1_6	B_1_6_1	B_1_6_2	B_1_6_3	B_1_6_4	B_1_6_5	B_1_6_6	B_1_6_7	B_1_6_8	B_1_6_9	B_1_6_10	B_1_6_11	B_1_6_7_11	B_1_6_12	B_1_6_99	B_1_7	B_1_7_1	B_1_7_1_1	B_1_7_1_2	B_1_7_2	B_1_8	B_1_8_1	B_1_8_2	B_1_9	B_1_9_1	B_1_9_2	B_1_9_2_1	B_1_9_2_2	B_1_9_2_2_99	B_1_9_2_99	B_1_10_11	B_1_10	B_1_11	B_1_12	B_1_12_1	B_1_12_2	B_2	B_3	B_3_1	B_3_2	B_3_3	B_4	B_4_1	B_4_1_1	B_4_1_1_1	B_4_1_1_2	B_4_1_2	B_4_1_3	B_4_2	B_4_3	B_4_3_1	B_4_3_2	B_4_4	B_4_4_1	B_4_4_2	B_4_4_3	B_4_4_4	B_4_5	B_4_6	B_4_7	C_1L	C_1_3L	C_2_1_2_5L	C_2L	C_21399L	C_2_1L	C_2_2L	C_2_3L	C_2_4L	C_2_5L	C_2_6L	C_2_99L	C_2_6_99L	C_3L	C_3_1L	C_3_1_1L	C_3_1_99L	C_3_2L	C_3_2_1L	C_3_2_99L	C_4_5_6L	C_4L	C_4_1L	C_4_2L	C_4_99L	C_5L	C_5_1L	C_5_2L	C_5_3L	C_6L
MT	ha	41650	11450	9080	0	0	0	0	0	0	0	0	0	0	0	0	700	700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1730	1660	0	1660	70	30	20	10	5550	0	5550	0	0	5550	5550	50	50	0	1010	660	350	1120	0	0	0	0	1250	370	370	370	0	0	0	110	140	70	70	610	430	100	80	0	10	0	0	1400	14810	4890	11780	13410	1740	960	1880	140	170	6740	150	6890	1630	1190	980	210	440	330	110	26840	17450	500	3240	13710	9180	4660	4210	310	210
MT	flg																																																									-1			-1																																																	
NL	ha	6711500	1872350	1022070	218760	154020	0	2340	33440	1690	24360	0	2910	3570	1340	2220	229200	158270	70580	340	11820	0	0	0	2630	310	0	0	710	1900	1140	0	3770	430	4690	81110	76120	51660	24460	4990	31000	26230	4770	419210	182020	237190	230770	0	6420	6420	20120	12680	7440	7280	1270	6010	0	813310	768750	44570	0	36960	19340	17710	17710	0	1530	110	0	0	0	0	160	0	160	0	0	17400	0	60	114020	3038860	1205700	2776600	2924840	636000	42140	424930	17220	85410	1478640	92270	1570910	148230	112950	55820	57130	35280	27120	8170	3672640	2496430	138340	546840	1811250	1175440	313240	791000	71210	770
NL	flg																										-1	-1																																																																																		
NO	ha	1229310	1005940	827050	301140	72080	0	6760	146180	76110	0	0	0	2150	2150	0	13240	13240	0	0	5960	0	0	0	5930	0	0	0	0	0	0	0	0	20	0	8560	8490	1060	7430	70	610	520	100	488480	476550	11930	0	0	11930	11930	4610	3740	870	2310	2310	0	0	175840	20700	155140	0	3050	2820	2180	2180	0	640	0	0	0	0	0	0	0	0	0	0	230	0	0	29370	869980	308690	603040	840610	125140	56100	98760	14910	13790	238440	55900	294340	237580	230830	87050	143780	6750	4320	2430	359330	195100	7820	47510	139780	164200	82980	68870	12340	30
NO	flg																																																																																																													
PL	ha	10377220	14447290	10797430	7605610	2124180	0	1166480	970670	1561110	342130	0	1441040	169100	108160	60940	597340	374760	206220	16360	1024660	15720	1710	0	945480	2980	180	3410	32870	540	110	0	36930	13900	7750	176310	171280	83350	87930	5040	5200	3620	1580	704210	123730	580480	386560	179140	193920	14780	83420	18770	64650	431570	228640	202940	31000	3229200	2945340	68960	214910	389670	358950	237570	237570	0	89950	31420	0	0	0	0	340	0	340	0	0	24650	5710	20	205310	4648350	1788410	4406230	4443040	583820	445730	443370	111670	203820	2505600	112220	2617810	36820	26110	16790	9320	10710	8670	2040	5728870	3656920	118780	711760	2826380	2061680	715240	715130	631310	10270
PL	flg																																																																																																													
PT	ha	2205950	3668150	1173130	340260	61250	10790	20130	40420	61620	91790	29250	25000	12680	4160	8520	19800	17720	140	1940	24870	680	0	0	220	21320	0	0	0	0	0	0	0	80	2560	46490	44740	30040	14700	1750	1700	1090	610	384570	30540	354040	86900	11560	267140	255580	1220	350	870	341530	267000	74540	19690	1784600	453400	1316080	15120	690730	158320	42960	39920	3050	210	115150	16930	335840	4090	331750	177830	144560	30940	2330	0	1200	600	0	44810	1338750	398200	1029910	1293940	152790	46770	110650	26370	61610	278420	353290	631710	264040	221960	190040	31920	42070	35600	6480	867200	458810	16100	119220	323480	403050	141780	167700	93570	5350
PT	flg																																																																																																													
RO	ha	5444180	13306130	8306420	4959600	2241830	7820	21740	455270	139510	2029780	12690	50960	30720	28750	1970	145870	118290	25310	2270	1466250	1430	320	0	592510	758820	76500	1100	5330	140	20	0	6600	21550	8510	59050	56230	46960	9260	2820	750	560	190	670770	90080	580690	27310	489270	553380	64110	20880	5940	14950	952520	584440	368080	182030	4506250	3774390	305690	426170	311430	141870	139200	139200	0	720	1950	0	0	0	0	161370	47620	108890	4850	0	3380	4820	0	474020	3106480	488520	1667160	2632470	145690	52740	96960	60680	132450	1151350	27290	1178640	965300	841220	709560	131650	124090	98310	25770	2337700	1372440	32530	244600	1095300	962610	239810	547030	175780	2650
RO	flg																																																																																																													
SE	ha	1751890	3066320	2611470	963280	399990		24230	318770	164390		0	55910	36770	36080	680	65150	27200	37950		130890	0	0	0	110230	120	0	19140	270	50	260		19730		800	20170	20070	9370	10700	100	100		100	1199460	1147850	51610	16320			35290	15010	14820	200	180630	0	180630		451910	406290	45620	0	2940	2490	1910	1910	0	580	0	0	0	0	0	0			0	0	450		0	93620	1224860	569000	1074740	1131230	191580	112210	159200	30740	75270	348100	157640	505740	56490	56490	25970	30530	0	0	0	527040	370120	11530	76820	281770	156920	45120	107920	3890	0
SE	flg																																																																																																													
SI	ha	518480	482650	169080	93940	31950	0	800	18730	1770	36430	0	4260	890	800	80	4480	4120	0	350	13320	0	1490	0	5300	200	110	0	6170	0	0	0	6170	50	0	1310	1180	390	790	130	80	30	50	54370	24310	30070	25480	4140	4590	440	340	250	90	350	350	0	1060	285710	235820	49900	0	26800	9190	8450	8450	0	40	690	0	890	0	890	16350	15820	530	0	0	360	0	0	18140	367100	170350	331700	348960	56670	47990	40540	7790	17360	107960	53390	161350	17260	13770	9030	4750	3490	1970	1510	151380	92340	2920	18100	71320	58690	19580	21000	18110	350
SI	flg																													-1																																																																																
SK	ha	668340	1895500	1343510	707290	325990	20720	16560	134920	16780	179840	0	12470	13420	10570	2860	27350	8770	17920	660	282890	0	240	0	168380	88720	15350	2050	6290	0	0	0	8410	1700	0	12500	12380	12380	0	120	260	220	40	266730	71010	195730	78040	109080	117690	8600	1490	220	1280	31570	5650	25930	1080	531270	437230	79180	14870	19640	8170	6540	6540	0	1330	300	0	0	0	0	11040	10730	160	150	0	420	0	0	5530	389480	152470	343410	383960	50650	18480	51070	6100	26160	154220	36720	190940	40550	39450	33000	6450	1100	790	300	278850	143580	4480	31130	107960	135200	46000	81850	7350	80
SK	flg																					-1								-1					-1																																																																											
UK	ha	13308420	15686440	5945510	3010500	1938150		6060	919370	124270		0	22650	210330	210330		289770	138020	118600	33160	698550	0		0	641350		0	44280	820			0	45090	3450	8660	123860	122900	122900		960	5920	5310	610	1420620	1219260	201360	168190	8730	33180	24450	28660	4440	24220	157310	11160	146150	0	9704720	5883260	3802900	18570	36200	28650	23910	23910	0	4740		0	0	0	0	1230		1230	0	0	4510	1810	0	235920	10465960	3957010	7118270	10230040	1139300	746040	978930	422250	670500	1843460	1317800	3161260	3111760	3102780	1405460	1697320	8980	6070	2910	2842460	1113050	31640	249910	831510	1729410	729230	657240	342940	0
UK	flg																																																																																																													
